Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance,Display Name,Line_Name,Min_Dist,Cap_MW,Load_Pct,Remain_MW
AMERICAN KINGS SOLAR,272,11/1/2007,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,123.0,73.8,,123.0,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Henrietta 70 kV,6/1/2012,12/1/2020,,,Complete,Complete,,Executed,,,36.26651652932094,-119.70676565239869,6.0,31.0,1868.0983066095137,0,0.1906624814280755,0.0560811526262238,AMERICAN KINGS SOLAR : Henrietta 70 kV,PG&E 60kV,1.9502761500387558,221,41,130
DRACKER SOLAR,294,1/15/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,485.0,390.2,,485.0,,,,Partial Capacity,75.2,Off-Peak Deliverability,,riverside,CA,SCE,,Colorado River Substation 500kV,6/1/2012,8/31/2023,,,Complete,Complete,,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6.0,65.0,813.7700056883757,1,0.0106184422255897,,DRACKER SOLAR : Colorado River Substation 500kV,SCE 500kV,0.07347741070573015,209490,98,4190
ALTA VISTA SUNTOWER GENERATING STATION,297,1/18/2008,ACTIVE,TC,Steam Turbine,Storage,,Solar,Battery,,66.0,66.0,,66.0,,,,Partial Capacity,74.818,Off-Peak Deliverability,Group D,los angeles,CA,SCE,Northern,Neenach-Bailey 66kV line,12/1/2009,4/15/2025,,,Complete,Complete,,Executed,,,34.05271494350265,-118.24350750186233,6.0,37.0,2442.634234780748,0,0.9286416239736386,0.0814723271526633,ALTA VISTA SUNTOWER GENERATING STATION : Neenach-Bailey 66kV line,SCE 66kV,0.944229852412685,2220,92,178
ALMASOL,365,5/6/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,457.0,50.0,,457.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/28/2013,6/1/2025,,,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,2362.908892344221,0,0.0352159668125485,,ALMASOL : Red Bluff Substation 230kV,SCE 220kV,790.3262315055138,3311,76,795
LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,378,5/28/2008,ACTIVE,TC,Combined Cycle,Storage,,Natural Gas,Battery,,120.0,3.0,,120.0,,,,Full Capacity,,Off-Peak Deliverability,,santa clara,CA,PGAE,Northern,Los Esteros 115 kV,6/1/2011,9/1/2023,,,Complete,Complete,,Executed,,,37.3216608544498,-121.91548560770906,6.0,85.0,2957.2387769787515,0,0.4169300920765295,0.1138189755366911,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION : Los Esteros 115 kV,PG&E 115kV,0.853693431883826,14146,45,7780
SLOTH,421,5/30/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,49.5,15.0,,49.5,,,,Partial Capacity,,Off-Peak Energy Only,,riverside,CA,SCE,Eastern,Red Bluff Substation 220kV,2/1/2012,3/1/2024,,,Complete,Complete,,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6.0,65.0,2989.4768574638942,1,0.0352159668125485,,SLOTH : Red Bluff Substation 220kV,SCE 220kV,790.3262315055138,3311,76,795
ROSAMOND WEST SOLAR,506,7/30/2009,ACTIVE,C01,Photovoltaic,Storage,,Solar,Battery,,299.6,147.7,,299.6,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,7/31/2015,7/30/2023,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,2232.533122781169,1,0.0453243202783785,0.0205694842514983,ROSAMOND WEST SOLAR : Whirlwind Substation 230kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),539,12/18/2009,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,20.0,,,,Energy Only,,Off-Peak Deliverability,,stanislaus,CA,PGAE,,Salado-Newman #1 60kV Line,10/31/2012,6/30/2016,,,Facilities Study,SGIA,,Executed,,,37.62814565599402,-120.93658538252733,6.0,99.0,221.5916605800604,0,0.0629710899710508,0.0577810235584747,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1) : Salado-Newman #1 60kV Line,MID 60kV,0.15698131442908864,5323,39,3247
KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),625,5/14/2010,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,20.0,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,,Henrietta-Tulare Lake 70 kV,12/31/2011,4/1/2025,,,Facilities Study,SGIA,,Executed,,,36.262241839931605,-119.7178731711856,6.0,31.0,2523.776894693449,0,0.1591489086842738,0.0596031432878001,KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM) : Henrietta-Tulare Lake 70 kV,PG&E 60kV,2.44649077167414,221,41,130
APPARENT FIRST HYBRID,653F,10/7/2010,ACTIVE,SGIP-TC,Photovoltaic,Storage,,Solar,Battery,,12.0,12.1,,12.0,,,,Energy Only,,Off-Peak Energy Only,,yolo,CA,PGAE,Northern,Woodland-Davis 115 kV Line,5/1/2012,5/30/2022,,,Complete,Complete,,Executed,,,38.58821192314178,-121.72382157706656,6.0,113.0,707.3771750342835,0,0.304384183042368,0.0290692606305536,APPARENT FIRST HYBRID : Woodland-Davis 115 kV Line,PG&E 60kV,0.19963991376884888,947,58,398
EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),678,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,60.0,60.0,,60.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Panoche-Schindler #1 and #2 115 kV Line,9/5/2013,12/20/2024,,,Complete,Complete,,Executed,,,36.724261181269455,-119.7584649161502,6.0,19.0,516.0438231933965,0,0.0194173767061981,0.0505170008304199,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS) : Panoche-Schindler #1 and #2 115 kV Line,PG&E 60kV,0.7088170119802777,368,94,22
COLUMBIA SOLAR ENERGY 2 FKA COLUMBIA SOLAR ENERGY II,687,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,20.0,20.0,,20.0,,,,Full Capacity,,Off-Peak Deliverability,Group D,contra costa,CA,PGAE,Northern,Pittsburg-Kirker-Columbia Steel 115 kV Line,12/31/2012,6/1/2025,,,Complete,Complete,,Executed,,,37.94139515971631,-122.04060570221544,6.0,13.0,1873.4985495027315,0,0.2603926135640967,0.0616669155401286,COLUMBIA SOLAR ENERGY 2 FKA COLUMBIA SOLAR ENERGY II : Pittsburg-Kirker-Columbia Steel 115 kV Line,PG&E 115kV,0.9576603423004522,924,85,139
LASSEN LODGE HYDROELECTRIC,720,3/31/2011,ACTIVE,C04,Hydro,,,Water,,,4.5,,,4.5,,,,Energy Only,,,,tehama,CA,PGAE,Northern,Vota-South 60 kV,12/15/2012,10/16/2024,,,Complete,Complete,,Executed,,,40.10588804847182,-122.19714809802,6.0,103.0,699.247996805596,1,0.0267925598540713,0.1062164616497832,LASSEN LODGE HYDROELECTRIC : Vota-South 60 kV,PG&E 60kV,2.995068785013086,122,50,61
REDWOOD SOLAR FARM,744,3/31/2011,ACTIVE,C04,Photovoltaic,,,Solar,,,90.0,,,90.0,,,,Partial Capacity,87.0,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Lamont 115 KV,7/1/2014,7/1/2024,,,Complete,Complete,,Executed,,,35.34592642557131,-118.92918591209477,6.0,29.0,316.68185521972686,0,0.1125314977439439,0.0765548577456988,REDWOOD SOLAR FARM : Lamont 115 KV,SCE 220kV,0.5627188152275641,1243,77,286
BIG SKY SOLAR,768,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,320.0,163.4,,320.0,,,,Partial Capacity,95.0,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope Substation 230kV bus,12/31/2014,1/31/2023,,,Complete,Complete,,Executed,Antelope,Antelope,35.6579012,-119.9964345,6.0,37.0,2208.910292296333,1,0.0179642428096938,,BIG SKY SOLAR : Antelope Substation 230kV bus,SCE 500kV,56.77829369624932,1712,67,565
WRIGHT SOLAR,779,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,200.0,80.0,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos-Panoche #1 230kV Line,1/6/2014,11/3/2023,,,Complete,Complete,,Executed,,,37.2996936104141,-120.64332017996855,6.0,47.0,1699.0061408473384,0,0.1429482361632295,0.047845798295253,WRIGHT SOLAR : Los Banos-Panoche #1 230kV Line,PG&E 115kV,0.9022798578682688,702,80,140
RUGGED SOLAR FARM,789,3/30/2011,ACTIVE,C04,Photovoltaic,,,Solar,,,71.88,,,71.88,,,,Energy Only,,Off-Peak Deliverability,Group B,san diego,CA,SDGE,,Boulevard East Substation 69 kV,7/31/2015,4/1/2025,,,Complete,Complete,,Executed,Boulevard East,,32.90340766625583,-117.10881453416778,6.0,73.0,1171.164617635924,0,0.1624186136307712,0.042717634971046,RUGGED SOLAR FARM : Boulevard East Substation 69 kV,SDG&E 69kV,0.19184802834490083,577,96,23
STAGE COACH SOLAR,897,4/2/2012,ACTIVE,C05,Photovoltaic,Storage,,Solar,Battery,,200.0,50.0,,200.0,,,,Energy Only,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Calcite Substation 220kV bus,12/1/2016,8/1/2026,,,Complete,Complete,,Executed,Calcite,,34.179583447632844,-117.35538438717242,6.0,71.0,2437.864753455643,1,0.1282373273737694,0.0646811802198116,STAGE COACH SOLAR : Calcite Substation 220kV bus,SCE 115kV,0.6868143645641861,2649,57,1139
NORTHERN ORCHARD SOLAR,946,4/23/2013,ACTIVE,C06,Photovoltaic,Storage,,Solar,Battery,,100.0,92.0,,100.0,,,,Partial Capacity,60.0,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,12/1/2015,3/31/2024,,,Complete,Complete,,Executed,,,35.358765333306025,-118.95181307894867,6.0,29.0,1025.2096601370886,0,0.1437089120240971,0.0911562789311705,NORTHERN ORCHARD SOLAR : Midway-Wheeler Ridge #2 230 kV Line,PG&E 115kV,0.5214368420347141,2455,50,1228
LASSEN LODGE HYDROELECTRIC 2,1002,5/1/2013,ACTIVE,C06,Hydro,,,Water,,,0.5,,,0.5,,,,Energy Only,,,,tehama,CA,PGAE,Northern,Volta-South 60 kV Line,11/15/2015,10/16/2024,,,Complete,Complete,,Executed,,,40.12674871283655,-122.22450794338364,6.0,103.0,2178.3660672333885,0,0.0288088728563516,0.1558022944998358,LASSEN LODGE HYDROELECTRIC 2 : Volta-South 60 kV Line,PG&E 60kV,0.9178640688126805,245,36,157
CHULA VISTA ENERGY CENTER 2,1045,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50.0,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Otay Substation 69 kV,11/1/2019,6/1/2025,,,Complete,Complete,,Executed,Otay,Otay,32.59534999,-117.057828,6.0,73.0,1302.6945860040985,0,0.2367650871847643,0.243104071261532,CHULA VISTA ENERGY CENTER 2 : Otay Substation 69 kV,SDG&E 69kV,0.0008267588752771087,857,79,180
NORTH JOHNSON ENERGY CENTER,1047,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50.0,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,El Cajon Substation 69 kV,11/1/2019,6/1/2025,,,Complete,Complete,,Executed,El Cajon,El Cajon,32.79545548,-116.9722854,6.0,73.0,1588.8193056466937,1,23.33947946264779,0.0765350137642662,NORTH JOHNSON ENERGY CENTER : El Cajon Substation 69 kV,SDG&E 69kV,0.009409840897139966,910,87,118
ESCONDIDO ENERGY CENTER 2,1048,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50.0,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Escondido Substation 69 kV,11/1/2019,7/17/2025,,,Complete,Complete,,Executed,Escondido,Escondido,33.12588885,-117.1167032,6.0,73.0,508.5672447779379,1,0.2546757340882315,,ESCONDIDO ENERGY CENTER 2 : Escondido Substation 69 kV,SDG&E 69kV,0.006761641595300788,390,41,230
GASKELL WEST,1074,4/30/2014,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,125.0,61.62,,128.07,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 220 kV,6/30/2016,12/2/2026,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,2579.5793437520524,0,0.0453243202783785,0.0205694842514983,GASKELL WEST : Whirlwind Substation 220 kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
WILLOW SPRINGS SOLAR 3,1076,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50.0,,,50.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230 kV,6/30/2017,4/30/2024,,,Complete,Complete,,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6.0,29.0,1371.764135492968,0,0.0453243202783785,0.0205694842514983,WILLOW SPRINGS SOLAR 3 : Whirlwind Substation 230 kV,TEHACHAPI RENEWABLE TRANSMISSION PROJECT,0.007989090432295719,0,56,0
ALTAMONT MIDWAY LTD,1096,2/24/2015,ACTIVE,FT,Wind Turbine,,,Wind Turbine,,,5.0,,,5.0,,,,Energy Only,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Altamont Midway 230 kV,8/31/2015,12/31/2023,,,,,,Executed,,,37.68370818087557,-122.12070105719596,6.0,1.0,2932.495897805108,1,0.0463762769997499,0.1531567880816169,ALTAMONT MIDWAY LTD : Altamont Midway 230 kV,PG&E 60kV,0.3439396765008105,1377,62,523
BEAR CANYON ENERGY STORAGE,1097,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,13.25,,,13.0,,,,Full Capacity,,,,lake,CA,PGAE,Northern,Geysers #12-Fulton 230 kV Line,1/1/2018,3/15/2024,,,Complete,Complete,,Executed,,,38.9941834214192,-122.7505592872756,6.0,33.0,1081.4330455515887,1,0.04532057621334,0.0800833338416728,BEAR CANYON ENERGY STORAGE : Geysers #12-Fulton 230 kV Line,PG&E 115kV,5.605940563275436,555,49,283
FOUNTAIN WIND,1106,4/30/2015,ACTIVE,C08,Wind Turbine,,,Wind Turbine,,,206.0,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,shasta,CA,PGAE,Northern,Pit 1-Cottonwood 230 kV Line,10/15/2020,9/15/2027,,,Complete,Complete,,Executed,,,40.59758801544306,-122.27629989432955,6.0,89.0,2447.478219421615,1,0.0690460083512461,0.1282976966014526,FOUNTAIN WIND : Pit 1-Cottonwood 230 kV Line,PG&E 60kV,1.6999737741984786,378,66,129
NORTH CENTRAL VALLEY,1109,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,150.0,,,132.0,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Belotta 115 kV,6/1/2021,5/17/2023,,,Complete,Complete,,Executed,,,37.93880932669353,-121.317796582734,6.0,77.0,2896.9195717261096,0,1.0363910748916618,0.1404771677618519,NORTH CENTRAL VALLEY : Belotta 115 kV,PG&E 60kV,0.17793847242213234,2704,36,1731
ULTRAPOWER CHINESE STATION BESS,1116,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,10.0,,,10.0,,,,Full Capacity,,,,tuolumne,CA,PGAE,Northern,Melones-Curtis 115 kV Line,3/31/2017,12/30/2023,,,Complete,Complete,,Executed,,,37.984049241829176,-120.34648231736853,6.0,109.0,1413.8854843960853,0,0.0196888960840123,0.0207309769510939,ULTRAPOWER CHINESE STATION BESS : Melones-Curtis 115 kV Line,PG&E 115kV,1.2882594155911593,467,78,103
CHESTNUT WESTSIDE,1120,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,152.0,135.0,,150.0,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Gates 230 kV,4/19/2021,12/18/2023,,,Complete,Complete,,Executed,,,36.23555542925098,-119.70334596103586,6.0,31.0,2644.533432616904,1,0.1608573256989996,0.0557275626071768,CHESTNUT WESTSIDE : Gates 230 kV,PG&E 60kV,0.5454212006764388,221,41,130
LUNA VALLEY SOLAR,1129,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,204.0,168.5,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,12/31/2018,7/15/2024,,,Complete,Complete,,Executed,,,36.72597904691557,-119.7715289871984,6.0,19.0,2353.517879866755,1,0.0192593983962377,0.0531337868454761,LUNA VALLEY SOLAR : Tranquility 230 kV,PG&E 60kV,0.9717370625555923,368,94,22
SCARLET,1135,4/29/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,400.0,400.0,,400.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,12/31/2018,12/23/2025,,,Complete,Complete,,Executed,,,36.7324349787103,-119.7860086172256,6.0,19.0,2410.294393117154,0,0.0188999451466077,0.0574647712646644,SCARLET : Tranquility 230 kV,PG&E 60kV,0.8639992853824023,1670,78,367
WESTLANDS ALMOND,1136,4/30/2015,ACTIVE,C08,Photovoltaic,,,Solar,,,19.88,,,19.88,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,Fresno,Kent 70 kV,11/14/2016,9/14/2023,,,Complete,Complete,,Executed,,,36.25890424161945,-119.7292312145045,6.0,31.0,1631.443131499215,0,0.1361387657113263,0.0636113036100222,WESTLANDS ALMOND : Kent 70 kV,PG&E 60kV,2.077595064499885,221,41,130
LAKE ALPAUGH BATTERY STORAGE,1143,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,10.0,,,10.0,,,,Full Capacity,,,,tulare,CA,PGAE,Kern,Corcoran-Olive 115 kV Line,12/31/2017,9/15/2025,,,Complete,Complete,,Executed,,,36.26865383707261,-119.22269151681915,6.0,107.0,612.3572599964396,1,0.0262024130863993,0.0251422864467925,LAKE ALPAUGH BATTERY STORAGE : Corcoran-Olive 115 kV Line,SCE 220kV,0.9116929199647664,1110,46,599
BIG ROCK SOLAR FARM,1166,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200.0,200.0,,200.0,,,,Partial Capacity,87.0,Off-Peak Deliverability,Group D,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,6/1/2020,4/1/2024,,,Complete,Complete,,Executed,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6.0,25.0,2398.4349008986724,1,0.1399886599937234,,BIG ROCK SOLAR FARM : Imperial Valley Substation 230 kV,IID 34.5kV,0.008486190388329507,66,94,4
FALLBROOK ENERGY STORAGE,1169,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,69.6,,,69.6,,,,Full Capacity,,,,san diego,CA,SDGE,,Avocado Substation 69 kV,2/1/2020,4/25/2023,,,Complete,Complete,,Executed,Avocado,Avocado,33.38465278,-117.2368917,6.0,73.0,1094.2886754012416,0,0.0344468649528988,0.0455908234860609,FALLBROOK ENERGY STORAGE : Avocado Substation 69 kV,SDG&E 69kV,0.0007966461077885698,675,77,155
GATEWAY ENERGY STORAGE,1170,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,250.0,,,250.0,,,,Full Capacity,,,,san diego,CA,SDGE,,Otay Mesa Switchyard 230 kV,9/1/2018,11/3/2023,,,Complete,Complete,,Executed,,,32.89844559165802,-117.09442423956752,6.0,73.0,283.4233647367577,1,0.1398705626547238,0.0433068204894138,GATEWAY ENERGY STORAGE : Otay Mesa Switchyard 230 kV,SDG&E 69kV,0.2334953410584621,577,96,23
