Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance
ALMASOL,365,5/6/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,457,50,,457.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/28/2013,6/1/2025,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2362.908892344221,0,0.03521596681254858,
LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,378,5/28/2008,ACTIVE,TC,Combined Cycle,Storage,,Natural Gas,Battery,,120,3,,120.0,,,,Full Capacity,,Off-Peak Deliverability,,santa clara,CA,PGAE,Northern,Los Esteros 115 kV,6/1/2011,9/1/2023,,NA,Complete,Complete,NA,Executed,,,37.321660854449796,-121.91548560770906,6,85,2957.2387769787515,0,0.4169300920765295,0.11381897553669118
SLOTH,421,5/30/2008,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,49.5,15,,49.5,,,,Partial Capacity,,Off-Peak Energy Only,,riverside,CA,SCE,Eastern,Red Bluff Substation 220kV,2/1/2012,3/1/2024,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2989.4768574638942,1,0.03521596681254858,
ROSAMOND WEST SOLAR,506,7/30/2009,ACTIVE,C01,Photovoltaic,Storage,,Solar,Battery,,299.6,147.7,,299.6,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,7/31/2015,7/30/2023,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2232.533122781169,1,0.04532432027837859,0.020569484251498363
CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),539,12/18/2009,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20,20,,20.0,,,,Energy Only,,Off-Peak Deliverability,,stanislaus,CA,PGAE,None,Salado-Newman #1 60kV Line,10/31/2012,6/30/2016,,None,Facilities Study,SGIA,NA,Executed,,,37.62814565599402,-120.93658538252731,6,99,221.5916605800604,0,0.06297108997105087,0.057781023558474746
KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),625,5/14/2010,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20,20,,20.0,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,None,Henrietta-Tulare Lake 70 kV,12/31/2011,4/1/2025,,None,Facilities Study,SGIA,NA,Executed,,,36.262241839931605,-119.71787317118559,6,31,2523.776894693449,0,0.1591489086842738,0.059603143287800135
APPARENT FIRST HYBRID,653F,10/7/2010,ACTIVE,SGIP-TC,Photovoltaic,Storage,,Solar,Battery,,12,12.1,,12.0,,,,Energy Only,,Off-Peak Energy Only,,yolo,CA,PGAE,Northern,Woodland-Davis 115 kV Line,5/1/2012,5/30/2022,,NA,Complete,Complete,NA,Executed,,,38.58821192314178,-121.72382157706657,6,113,707.3771750342835,0,0.304384183042368,0.02906926063055361
EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),678,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,60,60,,60.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Panoche-Schindler #1 and #2 115 kV Line,9/5/2013,12/20/2024,,NA,Complete,Complete,NA,Executed,,,36.724261181269455,-119.7584649161502,6,19,516.0438231933965,0,0.01941737670619814,0.0505170008304199
COLUMBIA SOLAR ENERGY 2 FKA COLUMBIA SOLAR ENERGY II,687,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,20,20,,20.0,,,,Full Capacity,,Off-Peak Deliverability,Group D,contra costa,CA,PGAE,Northern,Pittsburg-Kirker-Columbia Steel 115 kV Line,12/31/2012,6/1/2025,,NA,Complete,Complete,NA,Executed,,,37.94139515971631,-122.04060570221544,6,13,1873.4985495027313,0,0.26039261356409676,0.061666915540128674
LASSEN LODGE HYDROELECTRIC,720,3/31/2011,ACTIVE,C04,Hydro,,,Water,,,4.5,,,4.5,,,,Energy Only,,,,tehama,CA,PGAE,Northern,Vota-South 60 kV,12/15/2012,10/16/2024,,NA,Complete,Complete,NA,Executed,,,40.10588804847182,-122.19714809802,6,103,699.247996805596,1,0.02679255985407132,0.10621646164978323
REDWOOD SOLAR FARM,744,3/31/2011,ACTIVE,C04,Photovoltaic,,,Solar,,,90,,,90.0,,,,Partial Capacity,87,Off-Peak Deliverability,Group D,kern,CA,PGAE,Kern,Lamont 115 KV,7/1/2014,7/1/2024,,NA,Complete,Complete,NA,Executed,,,35.34592642557131,-118.92918591209477,6,29,316.68185521972686,0,0.11253149774394396,0.07655485774569881
BIG SKY SOLAR,768,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,320,163.4,,320.0,,,,Partial Capacity,95,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope Substation 230kV bus,12/31/2014,1/31/2023,,NA,Complete,Complete,NA,Executed,Antelope,Antelope,35.6579012,-119.9964345,6,37,2208.910292296333,1,0.017964242809693828,
WRIGHT SOLAR,779,3/31/2011,ACTIVE,C04,Photovoltaic,Storage,,Solar,Battery,,200,80,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos-Panoche #1 230kV Line,1/6/2014,11/3/2023,,NA,Complete,Complete,NA,Executed,,,37.2996936104141,-120.64332017996857,6,47,1699.0061408473384,0,0.1429482361632295,0.04784579829525307
RUGGED SOLAR FARM,789,3/30/2011,ACTIVE,C04,Photovoltaic,,,Solar,,,71.88,,,71.88,,,,Energy Only,,Off-Peak Deliverability,Group B,san diego,CA,SDGE,,Boulevard East Substation 69 kV,7/31/2015,4/1/2025,,NA,Complete,Complete,NA,Executed,Boulevard East,,32.90340766625583,-117.10881453416778,6,73,1171.164617635924,0,0.16241861363077126,0.042717634971046095
STAGE COACH SOLAR,897,4/2/2012,ACTIVE,C05,Photovoltaic,Storage,,Solar,Battery,,200,50,,200.0,,,,Energy Only,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Calcite Substation 220kV bus,12/1/2016,8/1/2026,,NA,Complete,Complete,NA,Executed,Calcite,,34.179583447632844,-117.35538438717242,6,71,2437.864753455643,1,0.12823732737376947,0.06468118021981169
NORTHERN ORCHARD SOLAR,946,4/23/2013,ACTIVE,C06,Photovoltaic,Storage,,Solar,Battery,,100,92,,100.0,,,,Partial Capacity,60,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Midway-Wheeler Ridge #2 230 kV Line,12/1/2015,3/31/2024,,NA,Complete,Complete,NA,Executed,,,35.358765333306025,-118.95181307894867,6,29,1025.2096601370886,0,0.14370891202409716,0.09115627893117052
LASSEN LODGE HYDROELECTRIC 2,1002,5/1/2013,ACTIVE,C06,Hydro,,,Water,,,0.5,,,0.5,,,,Energy Only,,,,tehama,CA,PGAE,Northern,Volta-South 60 kV Line,11/15/2015,10/16/2024,,NA,Complete,Complete,NA,Executed,,,40.126748712836545,-122.22450794338363,6,103,2178.3660672333885,0,0.028808872856351656,0.15580229449983587
CHULA VISTA ENERGY CENTER 2,1045,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Otay Substation 69 kV,11/1/2019,6/1/2025,,NA,Complete,Complete,NA,Executed,Otay,Otay,32.59534999,-117.057828,6,73,1302.6945860040985,0,0.23676508718476436,0.243104071261532
NORTH JOHNSON ENERGY CENTER,1047,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,El Cajon Substation 69 kV,11/1/2019,6/1/2025,,NA,Complete,Complete,NA,Executed,El Cajon,El Cajon,32.79545548,-116.9722854,6,73,1588.8193056466935,1,23.33947946264779,0.07653501376426625
ESCONDIDO ENERGY CENTER 2,1048,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50,,,50.0,,,,Energy Only,,,Group D,san diego,CA,SDGE,,Escondido Substation 69 kV,11/1/2019,7/17/2025,,NA,Complete,Complete,NA,Executed,Escondido,Escondido,33.12588885,-117.1167032,6,73,508.5672447779379,1,0.2546757340882315,
GASKELL WEST,1074,4/30/2014,ACTIVE,C07,Photovoltaic,Storage,,Solar,Battery,,125,61.62,,128.07,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 220 kV,6/30/2016,12/2/2026,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2579.5793437520524,0,0.04532432027837859,0.020569484251498363
WILLOW SPRINGS SOLAR 3,1076,4/30/2014,ACTIVE,C07,Storage,,,Battery,,,50,,,50.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230 kV,6/30/2017,4/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,1371.764135492968,0,0.04532432027837859,0.020569484251498363
ALTAMONT MIDWAY LTD,1096,2/24/2015,ACTIVE,FT,Wind Turbine,,,Wind Turbine,,,5,,,5.0,,,,Energy Only,,Off-Peak Deliverability,,alameda,CA,PGAE,Northern,Altamont Midway 230 kV,8/31/2015,12/31/2023,,None,NA,NA,NA,Executed,,,37.68370818087557,-122.12070105719597,6,1,2932.4958978051077,1,0.04637627699974999,0.15315678808161692
BEAR CANYON ENERGY STORAGE,1097,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,13.25,,,13.0,,,,Full Capacity,,,,lake,CA,PGAE,Northern,Geysers #12-Fulton 230 kV Line,1/1/2018,3/15/2024,,NA,Complete,Complete,NA,Executed,,,38.994183421419194,-122.75055928727559,6,33,1081.4330455515887,1,0.04532057621334001,0.08008333384167284
FOUNTAIN WIND,1106,4/30/2015,ACTIVE,C08,Wind Turbine,,,Wind Turbine,,,206,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,shasta,CA,PGAE,Northern,Pit 1-Cottonwood 230 kV Line,10/15/2020,9/15/2027,,NA,Complete,Complete,NA,Executed,,,40.59758801544306,-122.27629989432955,6,89,2447.478219421615,1,0.0690460083512461,0.12829769660145265
NORTH CENTRAL VALLEY,1109,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,150,,,132.0,,,,Full Capacity,,,,san joaquin,CA,PGAE,Northern,Belotta 115 kV,6/1/2021,5/17/2023,,NA,Complete,Complete,NA,Executed,,,37.93880932669353,-121.317796582734,6,77,2896.9195717261096,0,1.0363910748916618,0.14047716776185196
ULTRAPOWER CHINESE STATION BESS,1116,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,10,,,10.0,,,,Full Capacity,,,,tuolumne,CA,PGAE,Northern,Melones-Curtis 115 kV Line,3/31/2017,12/30/2023,,NA,Complete,Complete,NA,Executed,,,37.984049241829176,-120.34648231736853,6,109,1413.8854843960853,0,0.019688896084012357,0.020730976951093976
CHESTNUT WESTSIDE,1120,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,152,135,,150.0,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Gates 230 kV,4/19/2021,12/18/2023,,NA,Complete,Complete,NA,Executed,,,36.23555542925098,-119.70334596103586,6,31,2644.533432616904,1,0.16085732569899966,0.05572756260717687
LUNA VALLEY SOLAR,1129,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,204,168.5,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,12/31/2018,7/15/2024,,NA,Complete,Complete,NA,Executed,,,36.72597904691557,-119.7715289871984,6,19,2353.517879866755,1,0.019259398396237797,0.05313378684547615
SCARLET,1135,4/29/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,400,400,,400.0,,,,Full Capacity,,Off-Peak Deliverability,,fresno,CA,PGAE,Fresno,Tranquility 230 kV,12/31/2018,12/23/2025,,NA,Complete,Complete,NA,Executed,,,36.7324349787103,-119.7860086172256,6,19,2410.294393117154,0,0.018899945146607776,0.05746477126466448
WESTLANDS ALMOND,1136,4/30/2015,ACTIVE,C08,Photovoltaic,,,Solar,,,19.88,,,19.88,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,Fresno,Kent 70 kV,11/14/2016,9/14/2023,,NA,Complete,Complete,NA,Executed,,,36.25890424161945,-119.7292312145045,6,31,1631.443131499215,0,0.13613876571132633,0.06361130361002224
LAKE ALPAUGH BATTERY STORAGE,1143,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,10,,,10.0,,,,Full Capacity,,,,tulare,CA,PGAE,Kern,Corcoran-Olive 115 kV Line,12/31/2017,9/15/2025,,NA,Complete,Complete,NA,Executed,,,36.26865383707261,-119.22269151681915,6,107,612.3572599964396,1,0.026202413086399385,0.025142286446792502
BIG ROCK SOLAR FARM,1166,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,200,,200.0,,,,Partial Capacity,87,Off-Peak Deliverability,Group D,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,6/1/2020,4/1/2024,,NA,Complete,Complete,NA,Executed,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6,25,2398.4349008986724,1,0.13998865999372342,
FALLBROOK ENERGY STORAGE,1169,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,69.6,,,69.6,,,,Full Capacity,,,,san diego,CA,SDGE,,Avocado Substation 69 kV,2/1/2020,4/25/2023,,NA,Complete,Complete,NA,Executed,Avocado,Avocado,33.38465278,-117.2368917,6,73,1094.2886754012416,0,0.034446864952898865,0.04559082348606096
GATEWAY ENERGY STORAGE,1170,4/30/2015,ACTIVE,C08,Storage,,,Battery,,,250,,,250.0,,,,Full Capacity,,,,san diego,CA,SDGE,,Otay Mesa Switchyard 230 kV,9/1/2018,11/3/2023,,NA,Complete,Complete,NA,Executed,,,32.89844559165802,-117.09442423956752,6,73,283.4233647367577,1,0.13987056265472383,0.04330682048941385
LECONTE ENERGY STORAGE,1175,4/29/2015,ACTIVE,C08,Storage,,,Battery,,,125,,,125.0,,,,Partial Capacity,18,,Group 4a,imperial,CA,SDGE,,Imperial Valley Substation 230 kV,9/1/2018,6/1/2026,,NA,Complete,Complete,NA,Executed,Imperial Valley,Imperial Valley,32.85615594,-115.5637445,6,25,2224.100047123985,0,0.13998865999372342,
CRIMSON,1192,4/29/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,359.6,365,,350.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,12/31/2020,6/30/2023,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1048.77090324242,0,0.010618442225589738,
ARLINGTON,1196,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,409.9,296,,400.0,,,,Partial Capacity,78.6,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230kV,7/1/2021,9/1/2023,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1418.5229648381987,1,0.010618442225589738,
QUARTZITE SOLAR 8,1198,4/28/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,150,75,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 220kV,12/1/2020,12/21/2024,,NA,Complete,Complete,NA,Executed,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,2424.592001804829,0,0.010618442225589738,
VICTORY PASS SOLAR,1200,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,50,,200.0,,,,Partial Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 230kV,12/31/2018,3/1/2024,,NA,Complete,Complete,NA,Executed,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,473.8099862210217,0,0.03521596681254858,
ARATINA SOLAR CENTER 1,1204,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,200,,200.0,,,,Partial Capacity,19,Off-Peak Deliverability,Group A,san bernardino,CA,SCE,NOL,Kramer Substation 230kV,6/1/2020,12/27/2023,,NA,Complete,Complete,NA,Executed,Kramer,Kramer,34.98947998,-117.542396,6,71,450.8188410401656,0,0.44130358090449273,0.017957980691558077
SIENNA SOLAR FARM,1207,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,200,200,,200.0,,,,Partial Capacity,93,Off-Peak Deliverability,Group D,san bernardino,CA,SCE,NOL,Calcite Substation 230kV,6/1/2020,1/28/2027,,NA,Complete,Complete,NA,Executed,Calcite,,34.16749882976468,-117.3688880216656,6,71,2461.0812712598927,0,0.16521091690493342,0.0677751806131282
ANTELOPE SOLAR 2,1208,4/30/2015,ACTIVE,C08,Storage,Photovoltaic,,Battery,Solar,,358.88,423,,650.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope Substation 220kV,12/31/2018,4/1/2025,,NA,Complete,Complete,NA,Executed,Antelope,Antelope,35.6579012,-119.9964345,6,37,1216.2200384127723,0,0.017964242809693828,
ROSAMOND SOUTH EAST,1211,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,101.7,94,,101.7,,,,Partial Capacity,51.98,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,6/30/2018,10/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,718.2327113883618,1,0.04532432027837859,0.020569484251498363
GOLDEN FIELDS SOLAR,1212,4/30/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,101.7,95,,101.7,,,,Partial Capacity,52.24,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,6/30/2018,10/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,1845.1223368209887,1,0.04532432027837859,0.020569484251498363
RABBITBRUSH SOLAR,1215,4/28/2015,ACTIVE,C08,Photovoltaic,Storage,,Solar,Battery,,100,70,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2019,3/18/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,889.3324470024664,1,0.04532432027837859,0.020569484251498363
WILLOW SPRINGS SOLAR 4,1217,4/28/2015,ACTIVE,C08,Storage,,,Battery,,,75,,,75.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/31/2019,4/30/2024,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,1477.2830594506136,1,0.04532432027837859,0.020569484251498363
DAYLIGHT,1223,4/22/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,310.707,300,,300.0,,,,Energy Only,,Off-Peak Deliverability,,kings,CA,PGAE,Fresno,Mustang 230 kV,12/31/2020,1/19/2028,,NA,Complete,Complete,NA,Executed,,,36.25295333912554,-119.72156257076144,6,31,2485.0787438358584,1,0.1466739509696909,0.06119566832001796
MEDEIROS SOLAR,1239,5/3/2016,ACTIVE,C09,Photovoltaic,,,Solar,,,28.35,,,26.5,,,,Energy Only,,Off-Peak Deliverability,,merced,CA,PGAE,Fresno,Los Banos-O'Neil PGP 70 kV Line,8/1/2019,12/31/2026,,NA,Complete,Complete,NA,Executed,,,37.29622056948563,-120.62431536058669,6,47,2736.686072781532,0,0.1373812437769992,0.05205446607814967
PLUOT,1242,5/3/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254,225,,246.4,,,,Full Capacity,,Off-Peak Deliverability,Group B,kings,CA,PGAE,Fresno,Gates 230 kV,4/5/2023,3/8/2024,,NA,Complete,Complete,NA,Executed,,,36.251207347977974,-119.71138235597417,6,31,901.5251527675348,1,0.16643860119220974,0.058008092046145474
POMEGRANATE,1243,5/3/2016,ACTIVE,C09,Photovoltaic,Storage,,Solar,Battery,,254,225,,249.7,,,,Full Capacity,,Off-Peak Deliverability,Group A,kings,CA,PGAE,Fresno,Gates 230 kV,4/6/2022,3/8/2024,,NA,Complete,Complete,NA,Executed,,,36.23478448798805,-119.72318753191604,6,31,2574.6066468322515,0,0.12909394235810234,0.06184087333567889
